EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-1-1,44,40,36,28,24,18,59,50,40,30.08,30.04,29.99,10,10,10,28,15,33,0.00,5,,282
2016-1-2,41,38,34,22,19,17,52,47,41,30.12,30.04,29.98,10,10,10,24,13,30,0.00,3,,276
2016-1-3,48,42,35,27,23,21,64,49,34,29.96,29.88,29.80,10,10,10,23,14,29,0.00,2,,260
2016-1-4,38,27,15,25,10,-1,59,44,29,30.32,30.05,29.89,10,10,10,31,20,39,0.00,3,,335
2016-1-5,29,21,12,10,-2,-7,58,40,21,30.64,30.58,30.45,10,10,10,28,12,38,0.00,0,,351
2016-1-6,40,31,21,19,12,5,63,44,25,30.61,30.53,30.43,10,10,10,14,8,17,0.00,0,,234
2016-1-7,46,37,27,20,14,8,58,40,22,30.40,30.30,30.20,10,10,10,13,4,15,0.00,4,,246
2016-1-8,47,40,32,34,29,21,70,59,48,30.25,30.21,30.18,10,10,10,16,9,18,0.00,6,,38
2016-1-9,53,47,40,46,40,34,86,76,66,30.22,30.16,30.06,10,10,8,21,12,26,0.02,7,,69
2016-1-10,58,50,41,55,47,24,96,73,49,30.01,29.57,29.31,10,6,0,35,21,44,1.28,7,Fog-Rain,162
2016-1-11,41,34,26,20,8,0,51,39,26,30.13,29.93,29.65,10,10,10,32,20,43,0.00,1,,278
2016-1-12,45,34,22,30,18,4,75,56,37,30.13,29.88,29.66,10,10,10,37,14,47,T,6,Rain,218
2016-1-13,31,28,24,8,5,2,50,39,28,30.04,29.97,29.77,10,10,10,31,21,40,0.00,3,,277
2016-1-14,39,32,24,22,13,1,56,46,36,30.00,29.97,29.91,10,10,9,22,11,28,T,7,Snow,263
2016-1-15,51,41,31,43,34,21,86,71,56,29.96,29.84,29.54,10,10,10,23,7,26,T,7,Rain,107
2016-1-16,54,49,43,45,38,30,93,72,50,29.78,29.54,29.35,10,10,6,21,14,26,0.33,7,Rain,309
2016-1-17,43,37,31,30,24,19,92,70,48,29.91,29.79,29.71,10,8,2,17,10,22,0.05,6,Snow,344
2016-1-18,33,27,20,27,8,0,78,55,31,30.01,29.84,29.70,10,10,2,31,22,40,T,2,Snow,288
2016-1-19,31,25,18,11,3,1,49,39,28,30.15,30.04,29.98,10,10,10,32,22,44,0.00,2,,291
2016-1-20,40,34,28,16,15,12,58,48,37,30.23,30.15,30.08,10,10,10,28,12,33,0.00,5,,317
2016-1-21,39,33,27,14,11,7,55,44,32,30.26,30.16,30.08,10,10,10,24,14,30,0.00,4,,327
2016-1-22,30,26,21,19,6,3,63,47,31,30.32,30.23,30.12,10,9,2,20,12,25,0.01,6,Snow,14
2016-1-23,31,29,26,27,25,19,92,84,75,30.06,29.73,29.59,2,0,0,37,25,48,2.90,8,Fog-Snow,27
2016-1-24,35,27,19,19,12,6,75,57,38,30.12,29.93,29.71,10,9,1,29,13,37,T,4,Snow,329
2016-1-25,39,30,20,31,20,13,77,62,47,30.33,30.27,30.14,10,10,10,14,4,15,0.00,4,,206
2016-1-26,45,40,35,36,33,30,85,74,62,30.22,30.06,29.95,10,10,10,16,10,21,T,6,Rain,206
